"month","production_type","gwh"
"2017M01","Total","16220"
"2017M01","VarmekrEjF","397"
"2017M01","VarmekrF","1343"
"2017M01","Vindkraft","1983"
"2017M01","Vattenkraft","5807"
"2017M01","Karnkraft","6690"
"2017M01","Solkraft",
"2017M02","Total","14575"
"2017M02","VarmekrEjF","380"
"2017M02","VarmekrF","1252"
"2017M02","Vindkraft","1370"
"2017M02","Vattenkraft","5457"
"2017M02","Karnkraft","6116"
"2017M02","Solkraft",
"2017M03","Total","15293"
"2017M03","VarmekrEjF","330"
"2017M03","VarmekrF","1274"
"2017M03","Vindkraft","1716"
"2017M03","Vattenkraft","5419"
"2017M03","Karnkraft","6555"
"2017M03","Solkraft",
"2017M04","Total","13722"
"2017M04","VarmekrEjF","232"
"2017M04","VarmekrF","1136"
"2017M04","Vindkraft","1453"
"2017M04","Vattenkraft","4753"
"2017M04","Karnkraft","6150"
"2017M04","Solkraft",
"2017M05","Total","12428"
"2017M05","VarmekrEjF","168"
"2017M05","VarmekrF","869"
"2017M05","Vindkraft","1090"
"2017M05","Vattenkraft","4626"
"2017M05","Karnkraft","5674"
"2017M05","Solkraft",
"2017M06","Total","10727"
"2017M06","VarmekrEjF","157"
"2017M06","VarmekrF","698"
"2017M06","Vindkraft","1315"
"2017M06","Vattenkraft","4102"
"2017M06","Karnkraft","4455"
"2017M06","Solkraft",
"2017M07","Total","11286"
"2017M07","VarmekrEjF","185"
"2017M07","VarmekrF","643"
"2017M07","Vindkraft","1022"
"2017M07","Vattenkraft","5144"
"2017M07","Karnkraft","4291"
"2017M07","Solkraft",
"2017M08","Total","10954"
"2017M08","VarmekrEjF","125"
"2017M08","VarmekrF","671"
"2017M08","Vindkraft","1134"
"2017M08","Vattenkraft","5369"
"2017M08","Karnkraft","3656"
"2017M08","Solkraft",
"2017M09","Total","10837"
"2017M09","VarmekrEjF","147"
"2017M09","VarmekrF","712"
"2017M09","Vindkraft","1011"
"2017M09","Vattenkraft","5842"
"2017M09","Karnkraft","3124"
"2017M09","Solkraft",
"2017M10","Total","12780"
"2017M10","VarmekrEjF","204"
"2017M10","VarmekrF","963"
"2017M10","Vindkraft","1931"
"2017M10","Vattenkraft","5507"
"2017M10","Karnkraft","4175"
"2017M10","Solkraft",
"2017M11","Total","14667"
"2017M11","VarmekrEjF","288"
"2017M11","VarmekrF","1079"
"2017M11","Vindkraft","1645"
"2017M11","Vattenkraft","5908"
"2017M11","Karnkraft","5748"
"2017M11","Solkraft",
"2017M12","Total","15854"
"2017M12","VarmekrEjF","351"
"2017M12","VarmekrF","1284"
"2017M12","Vindkraft","1837"
"2017M12","Vattenkraft","6004"
"2017M12","Karnkraft","6378"
"2017M12","Solkraft",
"2018M01","Total","16202"
"2018M01","VarmekrEjF","431"
"2018M01","VarmekrF","1316"
"2018M01","Vindkraft","1514"
"2018M01","Vattenkraft","6736"
"2018M01","Karnkraft","6204"
"2018M01","Solkraft",
"2018M02","Total","15217"
"2018M02","VarmekrEjF","470"
"2018M02","VarmekrF","1188"
"2018M02","Vindkraft","1128"
"2018M02","Vattenkraft","6650"
"2018M02","Karnkraft","5782"
"2018M02","Solkraft",
"2018M03","Total","15772"
"2018M03","VarmekrEjF","431"
"2018M03","VarmekrF","1225"
"2018M03","Vindkraft","1160"
"2018M03","Vattenkraft","6591"
"2018M03","Karnkraft","6365"
"2018M03","Solkraft",
"2018M04","Total","12961"
"2018M04","VarmekrEjF","222"
"2018M04","VarmekrF","970"
"2018M04","Vindkraft","1289"
"2018M04","Vattenkraft","4922"
"2018M04","Karnkraft","5559"
"2018M04","Solkraft",
"2018M05","Total","12852"
"2018M05","VarmekrEjF","159"
"2018M05","VarmekrF","744"
"2018M05","Vindkraft","1034"
"2018M05","Vattenkraft","6071"
"2018M05","Karnkraft","4844"
"2018M05","Solkraft",
"2018M06","Total","11353"
"2018M06","VarmekrEjF","153"
"2018M06","VarmekrF","665"
"2018M06","Vindkraft","1328"
"2018M06","Vattenkraft","3863"
"2018M06","Karnkraft","5343"
"2018M06","Solkraft",
"2018M07","Total","9973"
"2018M07","VarmekrEjF","162"
"2018M07","VarmekrF","613"
"2018M07","Vindkraft","653"
"2018M07","Vattenkraft","3142"
"2018M07","Karnkraft","5403"
"2018M07","Solkraft",
"2018M08","Total","10336"
"2018M08","VarmekrEjF","149"
"2018M08","VarmekrF","658"
"2018M08","Vindkraft","1294"
"2018M08","Vattenkraft","3617"
"2018M08","Karnkraft","4618"
"2018M08","Solkraft",
"2018M09","Total","10781"
"2018M09","VarmekrEjF","118"
"2018M09","VarmekrF","765"
"2018M09","Vindkraft","1948"
"2018M09","Vattenkraft","3863"
"2018M09","Karnkraft","4088"
"2018M09","Solkraft",
"2018M10","Total","12941"
"2018M10","VarmekrEjF","201"
"2018M10","VarmekrF","927"
"2018M10","Vindkraft","1988"
"2018M10","Vattenkraft","3962"
"2018M10","Karnkraft","5863"
"2018M10","Solkraft",
"2018M11","Total","14156"
"2018M11","VarmekrEjF","275"
"2018M11","VarmekrF","1240"
"2018M11","Vindkraft","1661"
"2018M11","Vattenkraft","5470"
"2018M11","Karnkraft","5510"
"2018M11","Solkraft",
"2018M12","Total","15955"
"2018M12","VarmekrEjF","500"
"2018M12","VarmekrF","1466"
"2018M12","Vindkraft","1642"
"2018M12","Vattenkraft","6126"
"2018M12","Karnkraft","6222"
"2018M12","Solkraft",
"2019M01","Total","16383"
"2019M01","VarmekrEjF","563"
"2019M01","VarmekrF","1519"
"2019M01","Vindkraft","1840"
